smiles,ames,source,split
CC1(C(=O)O)CCCC2(C)C3CCC4(O)CC3(CCC12)CC41CO1,0.0,hansen,Train/Validation
O[C@H]1C=Cc2c(ccc3c2-c2cccc4cccc-3c24)[C@@H]1O,1.0,hansen,Train/Validation
Cc1ccc2c(c1)C(C)C1C(=Nc3ccccc31)N2C,1.0,hansen,Train/Validation
NC(CS/C(Cl)=C(\Cl)C(Cl)(Cl)Cl)C(=O)O,1.0,hansen,Train/Validation
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(O)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c2c1O,0.0,hansen,Train/Validation
CN(C)N=Nc1ccc(Br)cc1,1.0,hansen,Train/Validation
Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,0.0,hansen,Train/Validation
CNCc1ccc(CSCCN=C(NC[C@H](O)c2ccc(O)cc2)NS(C)(=O)=O)o1,0.0,hansen,Train/Validation
CCOC(=O)C[C@H](SP(=S)(OC)OC)C(=O)OCC,0.0,hansen,Train/Validation
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0.0,hansen,Train/Validation
COC1=CC(=O)c2c3nc4ccncc4c-3c[nH]c2C1=O,1.0,hansen,Train/Validation
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,0.0,hansen,Train/Validation
COc1cc2c3c(c1)Oc1c(OC)c(OC)cc4c1[C@H](Cc1ccc(OC)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,1.0,hansen,Train/Validation
CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)nc3c2)CC1,0.0,hansen,Train/Validation
O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,1.0,hansen,Train/Validation
N=C(N)S(=O)O,0.0,hansen,Train/Validation
C[PH]1(C)N[PH](C)(C)N[PH](C)(C)N1,0.0,hansen,Train/Validation
Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,0.0,hansen,Train/Validation
OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O,1.0,hansen,Train/Validation
C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@H]1CC[C@@H]2O,0.0,hansen,Train/Validation
CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,1.0,hansen,Train/Validation
COc1cc2c(c3c(C)cc4ccccc4c13)CCC2=O,1.0,hansen,Train/Validation
CCOc1ccccc1C(N)=O,0.0,hansen,Train/Validation
O=S(=O)(O)c1ccc2cc(Oc3ccc4cc(S(=O)(=O)O)ccc4c3)ccc2c1,0.0,hansen,Train/Validation
CCCCCCCC/C=C\CCCCCCCCN,1.0,hansen,Train/Validation
COC(=O)[C@]12O[C@@]1(C)[C@](O)(C(C)C)NC2=O,1.0,hansen,Train/Validation
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.0,hansen,Train/Validation
Cc1ccc(OC[C@H]2CO2)cc1,1.0,hansen,Train/Validation
O=C(c1ccc2c(c1)OCO2)[C@@H]1CO1,1.0,hansen,Train/Validation
C=C1CCC2C(c3c(C)c(O)c4c(c31)C(=O)C(C)C4)C2(C)C,0.0,hansen,Train/Validation
CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,1.0,hansen,Train/Validation
CS(=N)(=O)CCC(N)C(=O)O,0.0,hansen,Train/Validation
COc1ccccc1NCSC,1.0,hansen,Train/Validation
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0.0,hansen,Train/Validation
O=S(=O)(O)OCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1.0,hansen,Train/Validation
Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)cc([N+](=O)[O-])cc1[N+](=O)[O-],1.0,hansen,Train/Validation
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,0.0,hansen,Train/Validation
CCN(CC)c1ccc([N+](=O)[O-])cc1,1.0,hansen,Train/Validation
Cc1c2ccccc2cc2c3c(ccc12)C(O)C(O)C1OC31,1.0,hansen,Train/Validation
CC1(c2ccc(C#N)cc2)CO1,1.0,hansen,Train/Validation
N#C/C(=C\C=C\c1ccccc1)c1ccc(F)cc1,1.0,hansen,Train/Validation
COc1ccn(CC(O)CN=[N+]=[N-])c(=O)n1,1.0,hansen,Train/Validation
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,1.0,hansen,Train/Validation
CCOc1ccc(NC(C)=O)cc1[N+](=O)[O-],1.0,hansen,Train/Validation
C/C=C1\C[C@@H]2C=C[C@H]1C2,0.0,hansen,Train/Validation
COC1=CC(=O)c2c3nc4ccccc4c-3c[nH]c2C1=O,1.0,hansen,Train/Validation
N=C(N)NNc1ccc(N=NC(N)=S)cc1,1.0,hansen,Train/Validation
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.0,hansen,Train/Validation
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CCCl,1.0,hansen,Train/Validation
COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C=CO[C@H]1O2,1.0,hansen,Train/Validation
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,0.0,hansen,Train/Validation
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6O)C(C)(C(=O)O)C5CCC43C)C2C1,0.0,hansen,Train/Validation
CC(C)(CO)C(O)C(=O)NCCC(=O)O,0.0,hansen,Train/Validation
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)[C@@H](O)[C@H](O)C=C4,1.0,hansen,Train/Validation
CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3,1.0,hansen,Train/Validation
C=C1CCC2CC1C2(C)C,0.0,hansen,Train/Validation
N=C(N)NS(=O)(=O)c1ccc(N)cc1,0.0,hansen,Train/Validation
CN(C)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,0.0,hansen,Train/Validation
CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C,1.0,hansen,Train/Validation
CC(C)CCCC(C)C1CCC2C3C(OO)C=C4CC(O)CCC4(C)C3CCC12C,1.0,hansen,Train/Validation
C[C@@H](O)CN(C)c1ccc(NN)nn1,1.0,hansen,Train/Validation
CC(=O)/C=C\C1=C(C)CCCC1(C)C,0.0,hansen,Train/Validation
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N(C)C)[C@@H](O)[C@H](C)O1,1.0,hansen,Train/Validation
C/C=C1/C[C@H](C)[C@](O)(CO)C(=O)OCC2=CC[N@@+]3([O-])CC[C@@H](OC1=O)[C@@H]23,0.0,hansen,Train/Validation
COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0.0,hansen,Train/Validation
CN(C)CCCN1C=CN(C)C1/C=N/O,0.0,hansen,Train/Validation
CC(=O)OC[C@H](O)CO,1.0,hansen,Train/Validation
Cc1c(N)cccc1N=Nc1cccc(N)c1C,1.0,hansen,Train/Validation
CC(=O)c1ccc([N+](=O)[O-])[nH]1,1.0,hansen,Train/Validation
[N-]=[N+]=NCC(O)Cn1ncc2c(N)ncnc21,1.0,hansen,Train/Validation
OC1c2ccc3ccccc3c2C2OC2C1O,1.0,hansen,Train/Validation
CCOCCOCCOCC,0.0,hansen,Train/Validation
Nc1cc2c3c(ccc2c2ccccc12)[C@@H](O)[C@H](O)C=C3,1.0,hansen,Train/Validation
N/C(=N\OS(=O)(=O)O)c1ccccc1,0.0,hansen,Train/Validation
O=C(O)C1=C[C@@H](O)[C@H](O)[C@@H](O)C1,0.0,hansen,Train/Validation
CC(=O)Nc1ccc(N=Nc2cc(C)ccc2O)cc1,1.0,hansen,Train/Validation
CNC(=O)NOC(=O)NC,1.0,hansen,Train/Validation
CCOC[C@H]1CO1,1.0,hansen,Train/Validation
C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45,1.0,hansen,Train/Validation
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,hansen,Train/Validation
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1C(O)C3,0.0,hansen,Train/Validation
C/C=C/c1cc(OC)ccc1OC,0.0,hansen,Train/Validation
C/C=C/CC,0.0,hansen,Train/Validation
Nc1cccc2c(O)nnc(O)c12,0.0,hansen,Train/Validation
Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O,0.0,hansen,Train/Validation
Nc1ccc(/C=C\c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.0,hansen,Train/Validation
CC(C)Oc1ccccc1OC(=O)N(C)N=O,1.0,hansen,Train/Validation
CC1=CC[C@@H]2C(C)=CC[C@@H](C(C)C)[C@H]2C1,0.0,hansen,Train/Validation
CCCC[C@@H](CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1,1.0,hansen,Train/Validation
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,0.0,hansen,Train/Validation
NC(CCC(=O)NC(CSC(=O)NCCCl)C(=O)NCC(=O)O)C(=O)O,1.0,hansen,Train/Validation
Cc1cnc2ccc3c(nc(NC4OC(C(=O)O)C(O)C(O)C4O)n3C)c2n1,0.0,hansen,Train/Validation
CC[Si](Cl)(Cl)CC,0.0,hansen,Train/Validation
CC(C)CCCC(C)C1CCC2C3CC4N(N5C(=O)c6ccccc6C5=O)C45CC(Cl)CCC5(C)C3CCC12C,0.0,hansen,Train/Validation
O=c1c2c(O)cccc2oc2cc3c(c(O)c12)C1CCOC1O3,0.0,hansen,Train/Validation
O=C(O)c1cc(O)c2cccc(O)c2n1,0.0,hansen,Train/Validation
CC(C)C[C@@H](C)N,0.0,hansen,Train/Validation
NCCc1c[nH]cn1,0.0,hansen,Train/Validation
Cc1cc(-c2ccc(N=Nc3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1N=Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,1.0,hansen,Train/Validation
C=CC(=O)OCC(C)O,0.0,hansen,Train/Validation
OC1C=Cc2c(cc3c(ccc4ccccc43)c2Br)C1O,0.0,hansen,Train/Validation
COc1ccc(OC)c(N=Nc2c(O)ccc3ccccc23)c1,1.0,hansen,Train/Validation
C[C@H]1CCC[C@@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0.0,hansen,Train/Validation
C=CC[C@]1([C@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,0.0,hansen,Train/Validation
CSCCC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O,0.0,hansen,Train/Validation
CC(=O)c1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,1.0,hansen,Train/Validation
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1,0.0,hansen,Train/Validation
CC(=O)ON(OCc1ccc(-c2ccccc2)cc1)C(=O)c1ccccc1,1.0,hansen,Train/Validation
c1ccc(O[Si](Oc2ccccc2)(Oc2ccccc2)Oc2ccccc2)cc1,0.0,hansen,Train/Validation
Cc1c(N)cccc1[N+](=O)[O-],1.0,hansen,Train/Validation
NCCCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCCN)C(=O)O,0.0,hansen,Train/Validation
CC1CC2c3cc(Br)cc4c3c(cn4CC3CC3)CC2N(C)C1,0.0,hansen,Train/Validation
C=C,0.0,hansen,Train/Validation
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,1.0,hansen,Train/Validation
O=C1N(CO)[C@H](O)[C@@H](O)N1CO,1.0,hansen,Train/Validation
CCNS(=O)(=O)c1ccccc1C,1.0,hansen,Train/Validation
Nc1ccc2ccccc2c1N=Nc1ccccc1,0.0,hansen,Train/Validation
CC(=O)O[C@@H](c1ccc2c(c1)OCO2)[C@@H]1CO1,1.0,hansen,Train/Validation
Nc1c2ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2nc[n+]1[O-],1.0,hansen,Train/Validation
C=CC(=O)NCCCN(C)C,0.0,hansen,Train/Validation
COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0.0,hansen,Train/Validation
CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,0.0,hansen,Train/Validation
CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1,1.0,hansen,Train/Validation
CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1,0.0,hansen,Train/Validation
C[n+]1c2ccccc2nc2ccccc21,1.0,hansen,Train/Validation
CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,1.0,hansen,Train/Validation
C[C@@H](O)C(=O)O,0.0,hansen,Train/Validation
O=C(O)c1ccc(/C=N/n2nnc3c4ccccc4nc-3c2O)cc1,1.0,hansen,Train/Validation
OC1C=Cc2c(c3ccccc3c3cc4ccccc4cc23)C1O,1.0,hansen,Train/Validation
CC(=O)Nc1ccc(C)c(N=[N+]([O-])c2cc(NC(C)=O)ccc2C)c1,0.0,hansen,Train/Validation
C[C@H]1C(=O)O[C@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23,0.0,hansen,Train/Validation
Cc1ccc2[nH]nnc2c1,0.0,hansen,Train/Validation
Cc1c(NO)cc(NO)cc1[N+](=O)[O-],1.0,hansen,Train/Validation
CN(C)C1CCCCC1,0.0,hansen,Train/Validation
O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCSSCCC(=O)N1C(C(=O)O)CSC1c1ccccc1O,0.0,hansen,Train/Validation
CN1C[C@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,0.0,hansen,Train/Validation
CCN(CC)C(=S)SSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,0.0,hansen,Train/Validation
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0.0,hansen,Train/Validation
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(S(=O)(=O)O)c1,0.0,hansen,Train/Validation
CC/C=C/C=C/C=C/C=C/C=C/OCCC,1.0,hansen,Train/Validation
COC[C@H](O)Cn1ccnc1[N+](=O)[O-],1.0,hansen,Train/Validation
CC/C=C/C=C/C=C/C=C/C=C/OCC(O)CO,1.0,hansen,Train/Validation
COc1c(C(=O)O)c(O)nc2ccccc12,0.0,hansen,Train/Validation
CC(N)Cc1ccccc1,0.0,hansen,Train/Validation
[O-][N+](=Nc1ccccc1)c1ccccc1,1.0,hansen,Train/Validation
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4O[C@@H](C)C(O)=CC4=N)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)[C@H]1C(=O)OC,1.0,hansen,Train/Validation
Cc1cccc2ccccc12,0.0,hansen,Train/Validation
CCOC(=O)C(N)CS,1.0,hansen,Train/Validation
C1=C[C@@H]2c3ccccc3O[C@@H]2O1,1.0,hansen,Train/Validation
O=c1c(O)c(-c2ccc(OCCO)c(OCCO)c2)oc2cc(OCCO)cc(O)c12,0.0,hansen,Train/Validation
Nc1cc(N)c(N=Nc2ccc(S(N)(=O)=O)cc2)cc1N=Nc1ccc(S(N)(=O)=O)cc1,1.0,hansen,Train/Validation
COC(=O)C(C)CN=[N+]=[N-],1.0,hansen,Train/Validation
c1ccc2c(c1)ccc1c3ccccc3c([C@@H]3CO3)cc21,1.0,hansen,Train/Validation
CSCCC(=O)N1C(C(=O)O)CSC1c1ccccc1O,0.0,hansen,Train/Validation
[N-]=[N+]=NCC1OC(O)C(O)C(O)C1O,1.0,hansen,Train/Validation
FC(F)OC(Cl)C(F)(F)F,0.0,hansen,Train/Validation
C/C=C/C(=O)OC1CC2OC3C=C(C)C(=O)CC3(C)C1(C)C21CO1,0.0,hansen,Train/Validation
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C(=O)O)C5CCC43C)C2C1,0.0,hansen,Train/Validation
CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C=C(/C)CC/C=C(/C)CCC=C(C)C,0.0,hansen,Train/Validation
CC/C(C)=N\O,1.0,hansen,Train/Validation
Nc1nc2ccccc2s1,0.0,hansen,Train/Validation
COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)ccc1O,1.0,hansen,Train/Validation
c1ccc2c(c1)-c1ccccc1C1OC21,1.0,hansen,Train/Validation
C[C@@H]1[C@H](O)CCC2=CC(=O)[C@@]3([C@H]4O[C@H]4CO)O[C@H]3[C@]21C,1.0,hansen,Train/Validation
O=c1c2c(O)cccc2oc2c3c(cc(O)c12)O[C@@H]1OC=C[C@@H]31,1.0,hansen,Train/Validation
C[n+]1ccc(-c2ccccc2)cc1,0.0,hansen,Train/Validation
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](C=C[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl,0.0,hansen,Train/Validation
Nc1ccc(N=Nc2ccccc2)c(N)c1,1.0,hansen,Train/Validation
C[C@@H](O)CO,0.0,hansen,Train/Validation
CC(=O)NC(CS/C(Cl)=C/Cl)C(=O)O,1.0,hansen,Train/Validation
CCc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,1.0,hansen,Train/Validation
CN(C)CCOC(c1ccccc1)c1ccccc1,0.0,hansen,Train/Validation
C1=Cc2c(ccc3c2ccc2ccccc23)C1,1.0,hansen,Train/Validation
C=CC(=O)OCCOC,0.0,hansen,Train/Validation
CN(C)c1ccc(N=Nc2ccccc2CO)cc1,1.0,hansen,Train/Validation
C=CCO,0.0,hansen,Train/Validation
Cc1c(N)ccc(N=Nc2ccccc2)c1N,1.0,hansen,Train/Validation
CC(C)CNCC(C)C,0.0,hansen,Train/Validation
Nc1nc[nH]n1,0.0,hansen,Train/Validation
Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@@H](C)[C@@H](O)[C@@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCCN[C@H](C)c3ccccc3)cs2)cs1)[C@@H](C)O)[C@@H](O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@H]1O)c1c[nH]cn1,1.0,hansen,Train/Validation
O=S(=O)(O)CNc1ccc(N=Nc2cccnc2)cc1,0.0,hansen,Train/Validation
Cc1cc2nc3cc(C)c(N)cc3[n+](-c3ccccc3)c2cc1N,1.0,hansen,Train/Validation
COC(O)=C1C(C)=NC(COC(N)=O)=C(C(=O)OC(C)C)[C@H]1c1cccc(Cl)c1Cl,0.0,hansen,Train/Validation
C(=C/c1cccc(/C=C/c2ccccc2)c1)\c1ccccc1,0.0,hansen,Train/Validation
CCCCCCCCCCCCOC[C@H]1CO1,0.0,hansen,Train/Validation
CC1c2ccccc2N(C)C2=Nc3ccccc3C21,1.0,hansen,Train/Validation
C=CCCC(C=O)CC,0.0,hansen,Train/Validation
Nc1cnn(-c2ccccc2)c(=O)c1Cl,0.0,hansen,Train/Validation
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,1.0,hansen,Train/Validation
c1ccc2c3c4c(cc5ccccc5c4cc2c1)[C@@H]1O[C@H]31,1.0,hansen,Train/Validation
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.0,hansen,Train/Validation
Oc1ccnc(O)n1,0.0,hansen,Train/Validation
COC(=O)C1O/C(=N\O)C(Cl)=C1Cl,0.0,hansen,Train/Validation
